employee_id,age,department,job_level,years_at_company,monthly_income_inr,overtime,job_satisfaction,work_life_balance,commute_km,training_hours_year,performance_rating,remote_days_per_week,left_company
36,34,HR,2,16,53300,1,5,5,22,11,4,1,0
37,40,Sales,3,4,52000,0,4,5,5,58,3,5,0
38,45,Finance,2,4,42200,1,2,2,45,66,3,4,1
39,36,Engineering,2,18,72200,1,4,5,33,54,4,4,0
40,51,Finance,1,7,42100,1,2,3,29,9,4,1,1
41,38,Marketing,2,17,51800,0,2,4,45,19,4,0,0
42,50,Finance,1,13,50400,0,5,4,31,0,5,2,0
43,45,Finance,2,23,72300,1,2,3,28,62,1,2,0
44,31,Finance,4,13,98600,1,5,5,43,3,2,3,0
45,29,Finance,1,8,43100,0,4,3,22,48,3,3,0
46,22,Operations,2,4,49200,0,1,2,13,2,4,1,1
47,29,Finance,3,11,69300,1,3,2,39,77,5,5,1
48,40,Engineering,2,9,59600,0,1,5,45,80,3,5,1
49,40,Operations,3,3,53300,1,3,1,33,43,1,3,1
50,44,Operations,4,14,79900,0,5,3,40,68,4,3,0
51,48,Operations,2,10,52900,1,4,2,30,72,4,3,0
52,41,Sales,2,11,56700,1,5,3,36,1,4,1,0
53,26,Sales,3,8,67900,1,4,1,6,37,3,5,0
54,44,Finance,2,11,64500,1,3,4,18,39,3,0,1
55,33,Marketing,1,15,43000,0,4,3,38,67,4,0,0
56,44,Sales,2,22,69100,1,1,1,36,37,4,1,1
57,52,Engineering,4,18,92500,1,4,3,12,6,3,3,0
58,52,Engineering,2,21,53400,0,5,3,6,31,2,3,0
59,59,HR,3,7,80200,1,4,3,38,54,3,4,1
60,27,Sales,3,8,57500,0,2,5,5,20,1,3,0
61,59,Finance,1,7,40500,1,1,2,17,80,4,1,1
62,30,Marketing,4,2,63000,1,5,5,19,56,2,5,0
63,40,Operations,2,8,64000,1,4,1,39,5,4,5,0
64,26,Sales,5,8,74100,0,2,4,34,56,5,1,0
65,58,Finance,3,15,66700,1,4,3,21,13,4,2,0
66,46,HR,1,2,37500,1,1,4,33,0,4,4,1
67,50,Finance,1,16,51500,1,1,2,18,70,3,2,0
68,28,Engineering,5,10,92200,1,5,1,36,52,2,0,1
69,50,Engineering,3,4,76300,1,4,4,31,31,3,1,0
70,53,Operations,4,2,77800,1,5,3,1,36,4,4,0
71,58,Operations,2,4,58400,1,3,3,36,69,3,2,1
72,36,HR,2,18,61500,1,4,4,25,19,3,0,0
73,29,HR,5,10,83700,0,5,4,1,18,3,5,0
74,37,Marketing,3,12,61800,1,3,4,35,4,4,1,0
75,39,Sales,3,13,60400,1,2,3,2,5,3,0,0
76,30,Sales,2,12,52800,0,1,5,25,79,4,3,0
77,58,Sales,1,20,52600,1,1,4,19,69,3,3,1
78,40,Operations,5,22,106600,1,2,4,31,13,3,4,0
79,43,HR,1,22,45100,1,3,1,37,6,5,5,0
80,39,Sales,3,11,66300,1,2,1,41,5,3,3,1
81,23,HR,2,4,45800,1,4,2,13,16,4,2,0
82,31,Marketing,4,13,87000,0,4,1,10,28,4,5,0
83,46,HR,2,25,63300,1,5,1,30,47,4,5,0
84,44,Engineering,3,15,64800,1,5,2,42,8,4,3,1
85,40,Operations,2,4,43200,1,4,1,7,30,4,1,0
86,55,Finance,2,23,64000,0,4,5,27,35,2,2,0
87,34,Finance,2,7,55400,1,5,3,4,50,3,0,0
88,26,Operations,1,8,35000,1,2,2,37,26,2,4,1
89,34,HR,1,7,40200,0,3,2,9,69,3,1,1
90,29,Engineering,2,11,55800,0,2,3,4,16,4,4,0
91,28,Operations,1,10,46200,0,4,5,15,78,2,5,0
92,22,Engineering,5,4,104000,1,4,1,6,41,4,0,0
93,29,Marketing,3,11,84000,1,5,5,19,58,3,3,0
94,56,Operations,4,13,95800,1,3,4,26,53,4,2,0
95,48,Marketing,3,11,66200,0,1,1,6,55,2,5,0
96,24,HR,5,6,97200,1,3,4,4,36,4,2,0
97,27,HR,2,4,58300,0,3,5,24,14,4,4,0
98,56,HR,3,20,63800,0,2,3,45,39,5,2,1
99,21,Sales,4,3,85700,0,1,1,34,27,3,3,1
100,41,HR,2,1,45700,0,1,3,29,54,3,3,1
101,47,Marketing,1,16,44900,1,1,3,44,75,3,5,1
102,59,Engineering,1,9,39300,1,3,3,8,0,3,3,0
103,32,Sales,2,14,60300,1,1,4,3,55,1,0,0
104,57,Finance,3,13,70000,1,1,3,11,79,3,5,0
105,44,Engineering,2,3,50500,1,5,1,26,39,4,1,0
106,53,Operations,1,16,46300,1,2,2,7,18,3,1,0
107,59,Sales,3,20,64300,1,4,5,38,57,4,4,0
108,41,Operations,2,14,54600,1,3,3,38,7,3,0,0
109,40,Finance,2,1,52800,0,1,5,39,64,3,4,0
110,23,Finance,4,5,74000,1,5,2,4,57,2,2,0
111,26,HR,3,1,62000,1,5,5,40,20,3,2,0
112,59,Engineering,3,20,74800,1,1,5,44,49,3,5,1
113,59,Sales,2,18,58300,1,4,2,39,10,3,3,0
114,29,Operations,3,11,80300,1,5,3,2,46,3,1,0
115,42,Finance,1,4,35500,1,1,5,35,67,2,2,1
116,59,Finance,1,5,38000,0,4,3,44,30,5,4,0
117,39,Operations,3,7,79800,1,4,2,24,73,5,3,0
118,53,HR,2,5,49200,1,1,4,24,70,5,5,0
119,54,Engineering,1,24,49900,1,5,2,28,11,5,1,0
120,22,Finance,1,4,39700,1,1,3,15,3,3,0,0
121,42,Sales,1,9,43600,1,4,5,1,10,1,1,0
122,59,HR,2,24,64900,1,1,1,16,53,4,4,0
123,50,Engineering,1,15,46000,0,2,3,28,0,4,1,0
124,26,HR,5,2,112000,0,4,4,3,49,5,2,0
125,22,Marketing,3,4,62900,1,2,1,23,69,3,5,1
126,50,Operations,2,5,46700,1,1,3,13,5,4,0,1
127,41,Marketing,2,17,66700,0,2,3,23,6,4,2,0
128,48,Finance,3,12,72800,1,4,3,34,34,4,5,1
129,48,Engineering,2,5,61400,1,1,1,21,37,3,4,1
130,49,Marketing,2,23,71000,1,1,1,43,51,3,5,1
131,31,Engineering,1,13,43800,0,1,2,42,46,3,4,1
132,49,Marketing,2,24,66200,0,5,3,26,40,4,1,0
133,28,Engineering,3,10,82400,0,3,3,29,27,5,2,0
134,33,Engineering,1,2,39600,1,1,3,43,44,4,4,0
135,55,Marketing,4,5,73300,0,1,2,9,30,4,0,0
136,50,HR,1,2,33500,1,4,5,27,52,4,0,0
137,29,Marketing,3,11,82100,1,2,5,41,75,3,1,0
138,24,Engineering,2,6,48800,1,2,3,34,36,4,2,1
139,33,Operations,5,8,82900,0,5,2,38,74,3,5,0
140,42,HR,1,0,32300,1,2,5,27,79,4,3,0
141,55,Marketing,3,9,78600,1,3,4,5,7,3,3,0
142,59,Sales,2,22,67000,1,2,3,33,71,2,1,0
143,50,Engineering,1,7,36800,0,3,4,40,53,3,1,1
144,41,Sales,3,15,87500,1,3,4,2,11,5,4,0
145,50,Sales,1,11,36800,1,4,5,42,60,3,0,0
146,37,Operations,2,12,57300,1,1,5,36,24,3,2,0
147,25,Finance,2,7,52800,0,1,4,24,43,4,2,0
148,53,Finance,2,1,41800,1,4,5,30,19,4,4,0
149,29,Marketing,4,10,76700,1,5,3,33,65,4,5,0
150,22,Marketing,2,3,56600,1,1,5,31,33,5,4,0
151,57,Sales,3,18,82900,1,2,2,3,73,5,0,0
152,47,Sales,2,6,58900,1,1,2,34,26,4,5,1
153,51,HR,2,5,59800,1,5,3,44,33,4,1,1
154,40,Sales,4,9,82400,1,3,4,23,71,5,5,0
155,38,Marketing,1,20,55700,1,3,2,19,5,3,5,1
156,37,Operations,2,6,61700,1,2,1,40,75,3,0,1
157,54,Sales,3,1,54700,1,4,1,44,17,1,4,1
158,51,Finance,3,24,80600,1,1,1,42,73,3,5,1
159,23,Sales,2,5,45200,1,2,3,3,1,3,4,1
160,39,Finance,5,17,125300,0,5,4,18,24,4,2,0
161,31,Operations,2,8,49400,1,3,5,44,24,3,5,1
162,53,Marketing,1,21,44900,0,4,3,16,0,3,1,0
163,49,Marketing,5,9,73900,1,2,1,43,15,3,1,1
164,40,Operations,1,9,42700,0,2,4,10,58,4,4,0
165,44,Finance,3,15,84800,0,5,1,34,57,4,2,0
166,24,HR,4,6,96500,0,3,5,29,14,4,5,0
167,58,Finance,1,16,45600,1,2,5,27,58,4,4,0
168,22,Finance,1,0,34600,0,1,4,23,8,4,0,1
169,25,Finance,1,7,37700,1,3,4,29,48,3,5,1
170,29,Operations,4,3,72500,1,5,2,15,0,4,2,0
171,50,Operations,3,13,85400,0,2,4,23,19,3,5,0
172,47,HR,3,0,60800,0,1,5,3,57,4,5,0
173,24,Sales,3,6,74400,0,1,2,33,37,3,5,0
174,41,Sales,2,4,59600,1,3,3,4,71,5,5,0
175,32,Operations,3,14,79600,1,4,5,21,53,3,2,0
176,51,Sales,4,9,75300,0,5,4,27,71,4,3,0
177,36,Marketing,1,18,47800,1,1,5,13,6,3,5,0
178,25,Sales,3,7,65900,0,3,3,1,27,5,5,0
179,28,Operations,5,10,93000,1,2,5,21,36,3,4,0
180,44,HR,4,14,76800,1,2,3,21,52,2,1,0
181,30,Engineering,1,12,46300,0,2,3,15,48,4,1,0
182,42,Marketing,3,15,86200,0,3,2,9,69,3,4,0
183,24,HR,1,2,32600,1,2,2,5,19,1,4,0
184,60,Finance,3,0,49300,1,1,1,34,35,4,2,1
185,22,HR,3,4,72500,0,1,5,10,30,3,4,0
186,46,Engineering,2,12,66800,0,2,3,44,10,4,5,1
187,23,Engineering,2,5,57900,0,2,1,32,55,4,2,0
188,27,HR,4,7,78700,1,3,1,5,35,5,4,0
189,23,Sales,4,5,62100,0,4,1,20,20,4,4,0
190,55,Marketing,2,23,55600,1,1,1,28,29,4,2,1
191,59,HR,5,12,98900,1,4,4,15,45,4,3,0
192,45,Engineering,3,9,65400,0,3,2,25,19,4,2,0
193,44,Engineering,1,9,45200,1,1,2,6,23,3,4,0
194,22,Engineering,2,2,52200,0,3,4,25,10,4,4,0
195,36,HR,2,18,62800,0,3,3,18,63,3,1,0
196,51,Engineering,2,7,60400,1,1,2,20,0,5,2,1
197,60,Finance,3,10,78100,1,5,2,20,41,4,5,0
198,46,Marketing,1,22,60800,0,3,4,18,50,3,4,0
199,33,HR,5,5,73600,0,4,3,45,8,4,3,0
200,40,Sales,1,4,41100,0,4,5,31,74,3,4,0
201,47,HR,1,11,45200,0,2,3,11,78,2,5,0
202,42,Finance,1,3,37100,0,4,3,26,59,4,4,0
203,53,Sales,2,0,55800,1,4,1,8,18,3,2,0
204,51,Marketing,2,14,65000,0,3,1,8,2,4,5,0
205,27,Operations,3,9,69300,0,5,2,22,71,3,3,0
206,32,Sales,3,13,74000,0,4,5,28,49,1,1,0
207,34,Marketing,3,16,67900,0,5,2,24,41,3,0,0
208,54,Operations,2,12,59100,1,3,4,40,22,4,5,1
209,40,HR,2,21,59500,0,2,3,8,23,3,1,0
210,29,HR,2,5,60700,0,5,2,32,36,3,2,0
211,49,HR,1,11,41000,0,2,4,36,64,4,3,0
212,49,Finance,1,18,42800,1,1,3,15,68,3,3,0
213,57,Operations,3,15,81800,0,3,5,24,69,4,0,0
214,34,Finance,1,16,46300,0,4,3,23,11,3,0,0
215,36,Sales,3,18,81300,0,5,2,14,26,4,4,0
216,55,Sales,2,22,64900,1,5,1,9,52,5,2,0
217,29,Operations,4,7,72700,0,4,4,10,73,4,5,0
218,26,Finance,2,8,59000,1,3,5,1,11,4,3,0
219,43,Engineering,3,12,69800,0,4,3,21,36,3,4,0
220,42,Operations,3,1,54800,0,1,2,29,58,1,3,1
221,33,Operations,4,15,86200,1,1,3,17,10,3,5,0
222,40,Operations,3,7,73500,0,1,2,31,9,3,1,1
223,54,Operations,2,0,51300,1,2,4,5,29,3,5,0
224,44,Marketing,1,24,46300,0,5,5,1,78,4,3,0
225,43,Operations,1,23,52400,1,2,1,7,17,4,4,0
226,48,Marketing,3,7,66000,0,5,5,39,77,3,5,0
227,22,Operations,4,4,95600,0,4,3,42,6,4,1,0
228,52,Operations,2,16,52700,1,2,4,37,53,3,5,0
229,32,Finance,5,14,78800,0,1,3,14,5,5,3,0
230,53,Finance,2,12,54100,0,3,1,20,10,4,1,0
231,30,HR,2,12,50800,1,2,1,16,11,5,0,0
232,40,Operations,3,22,69100,0,2,1,11,63,5,4,0
233,54,Operations,1,11,40500,0,1,3,28,34,4,2,0
234,25,Finance,2,7,48200,0,3,2,17,13,5,5,0
235,28,Sales,3,0,51200,0,1,4,24,49,5,1,1
236,56,Operations,3,13,69500,0,4,3,18,9,4,0,0
237,53,Operations,4,5,77300,0,4,1,30,36,4,2,0
238,21,Marketing,1,3,37900,1,3,5,32,25,4,4,1
239,36,Sales,1,13,39700,1,1,3,1,48,4,5,0
240,36,Finance,2,1,45400,0,1,2,34,52,4,2,1
241,50,Operations,1,3,40900,1,1,5,37,7,3,1,1
242,41,Finance,3,23,81700,1,3,2,5,25,3,4,0
243,27,Sales,1,9,45100,1,1,5,23,26,3,3,0
244,31,Operations,2,13,49400,1,2,1,16,45,3,0,1
245,40,Marketing,4,5,64100,1,5,5,16,12,3,1,0
246,35,Sales,1,12,42900,1,1,1,5,25,5,3,1
247,29,Engineering,4,11,85500,0,4,1,11,73,3,5,0
248,48,Sales,2,5,52400,1,2,1,40,79,4,5,1
249,39,Finance,2,17,63600,0,3,4,9,53,3,4,0
250,55,Engineering,5,25,118700,1,3,5,33,41,3,1,1
251,22,Marketing,2,0,49200,1,5,3,38,29,5,0,0
252,55,Operations,1,7,42700,0,2,2,38,40,4,5,1
253,43,HR,1,22,58300,0,5,2,32,69,3,3,0
254,59,Sales,1,15,42100,0,2,3,12,41,2,1,0
255,58,Operations,4,24,87800,1,1,3,43,50,4,2,1
256,31,Operations,4,13,99300,0,5,5,23,28,4,1,0
257,45,Marketing,3,9,60500,0,5,4,37,4,3,2,0
258,35,Operations,2,15,55700,0,2,3,21,21,4,0,0
259,42,Finance,1,6,37900,1,3,1,1,6,3,5,0
260,47,Finance,4,11,102400,0,4,5,42,28,3,0,0
261,23,Marketing,1,5,35100,1,2,4,11,9,4,0,0
262,51,Operations,1,20,50600,0,1,1,22,26,5,3,1
263,56,Operations,4,17,87100,1,2,1,4,50,4,3,0
264,48,Engineering,1,21,51600,0,1,2,11,37,5,3,0
265,28,Marketing,3,10,79700,0,5,4,12,47,4,2,0
266,49,Finance,1,8,36400,0,1,3,35,52,5,4,1
267,35,HR,1,12,49500,1,5,2,31,38,2,5,0
268,54,HR,3,19,66200,1,2,2,14,24,2,3,0
269,26,Operations,2,8,50200,1,1,1,25,71,3,2,1
270,21,Operations,3,3,71200,1,2,2,37,75,4,0,1
271,27,HR,3,9,71600,1,4,3,25,62,4,3,0
272,30,HR,3,12,74000,1,3,2,4,60,5,2,0
273,22,Marketing,3,4,67000,1,1,2,9,38,5,3,1
274,47,HR,3,6,74400,1,4,5,24,7,4,1,0
275,25,Marketing,3,7,62200,0,2,2,13,7,3,3,0
276,33,Marketing,2,14,67800,0,1,2,24,62,4,1,1
277,51,HR,2,11,52700,0,3,1,25,6,3,4,0
278,35,Operations,1,6,40300,0,1,4,9,22,4,0,0
279,35,Marketing,3,9,70000,1,3,4,17,27,3,5,0
280,58,Engineering,1,21,57600,1,3,1,31,8,3,2,0
281,41,Marketing,1,22,48900,0,5,2,4,76,3,2,0
282,52,Marketing,1,13,48000,0,5,5,13,43,4,1,0
283,55,Operations,3,21,85900,1,2,5,12,37,2,1,0
284,56,Sales,4,10,70100,1,2,3,27,42,3,4,0
285,39,Finance,4,15,76500,0,4,2,33,15,4,3,0
286,30,Sales,5,10,110400,1,2,3,12,10,3,5,0
287,32,Marketing,3,0,71200,0,2,5,11,62,4,0,0
288,48,Finance,2,15,58600,0,5,2,24,1,5,4,0
289,33,Engineering,3,15,70700,1,3,2,7,49,3,2,0
290,40,Marketing,2,16,69100,1,2,3,32,45,4,1,1
291,46,Engineering,1,23,47300,0,5,5,11,15,3,5,0
292,37,HR,3,19,61000,0,1,1,27,56,3,4,0
293,37,Finance,3,6,53700,1,1,5,18,79,4,1,0
294,53,Operations,3,9,59200,1,2,5,13,33,4,1,0
295,43,Operations,2,5,46100,1,2,4,22,30,1,5,0
296,57,Operations,2,2,57700,0,3,2,30,37,3,0,1
297,27,Sales,4,9,88100,1,1,1,3,1,4,5,0
298,49,HR,1,23,50500,1,2,1,26,51,5,2,0
299,45,Operations,4,25,99900,0,2,1,11,13,3,4,0
300,49,Sales,3,24,76900,0,4,4,8,52,3,0,0
301,37,Operations,2,19,76000,0,3,5,34,79,2,5,0
302,45,Sales,4,17,68600,0,5,4,32,21,2,3,0
303,41,Sales,2,8,49000,0,5,4,26,30,2,3,0
304,52,Finance,2,15,48200,1,4,1,36,70,1,0,0
305,59,HR,3,16,73000,1,3,1,15,58,3,4,0
306,44,Operations,2,3,48500,1,3,3,36,66,3,0,0
307,23,Sales,2,5,56000,1,5,2,13,15,5,3,0
308,33,Operations,2,15,60300,0,4,4,43,75,5,1,0
309,52,Engineering,2,1,55200,1,5,2,45,74,3,1,1
310,59,Marketing,2,12,61600,1,4,3,19,57,4,1,0
311,47,HR,3,23,90400,1,5,2,13,26,4,2,0
312,29,Operations,3,5,78500,1,1,3,36,61,4,5,0
313,47,Operations,3,17,77200,0,5,1,2,48,3,5,0
314,31,Marketing,3,4,54900,0,5,1,23,57,2,5,0
315,56,Sales,3,17,79000,1,1,4,25,53,5,5,0
316,21,Operations,1,3,40100,1,5,5,39,25,4,1,0
317,39,Finance,1,21,44600,0,5,1,25,5,3,4,0
318,37,Engineering,2,19,53400,0,3,5,4,80,4,5,0
319,40,Finance,3,17,74700,1,5,2,12,66,2,4,0
320,46,Engineering,2,6,55300,1,3,2,40,67,3,4,1
321,21,Engineering,3,3,62800,0,3,4,8,49,3,5,0
322,44,HR,3,14,79100,1,2,3,33,10,5,1,1
323,55,HR,1,2,35700,1,1,2,35,55,4,0,1
324,50,Operations,2,2,43300,0,3,5,5,73,4,2,0
325,47,Finance,2,12,62900,0,4,1,35,0,4,4,1
326,23,Operations,4,5,93500,1,3,5,6,36,4,3,0
327,45,Finance,4,0,89100,0,2,4,35,37,5,1,0
328,44,Engineering,2,17,53600,0,1,5,39,50,4,0,1
329,40,Sales,3,22,79500,1,5,2,11,23,3,2,0
330,57,Engineering,4,17,104600,0,3,1,17,12,3,4,0
331,52,Marketing,2,21,58200,1,5,1,13,40,3,2,0
332,58,Sales,2,11,59600,0,1,3,16,28,4,5,0
333,48,Marketing,4,4,83300,1,4,3,20,62,4,1,0
334,38,Sales,4,6,78100,0,1,5,41,3,4,4,0
335,46,HR,1,1,36200,1,2,3,26,28,5,4,1
336,50,HR,2,12,62900,0,2,5,44,21,4,1,0
337,49,Sales,1,18,49500,1,1,2,32,29,2,2,1
338,54,Marketing,2,14,47700,1,1,5,41,35,4,2,1
339,58,HR,2,12,61700,0,5,3,25,28,4,2,0
340,51,HR,1,4,40500,0,1,5,42,35,3,1,0
341,31,Marketing,3,3,62800,1,1,4,44,61,3,4,1
342,22,Sales,1,4,35800,0,5,2,4,21,3,1,0
343,54,Finance,2,18,53000,0,2,4,39,60,4,1,0
344,30,HR,4,5,94800,0,3,4,39,75,2,3,0
345,45,Sales,1,6,45100,1,2,5,7,22,3,4,0
346,55,HR,3,2,73800,0,4,5,27,47,4,5,0
347,54,Finance,1,25,58600,1,5,5,7,54,3,3,0
348,26,Marketing,2,8,58700,0,1,1,37,66,2,0,0
349,45,Operations,1,25,56600,1,1,2,28,74,3,4,0
350,38,Operations,2,6,59300,1,2,3,36,71,3,2,1
351,57,Marketing,3,12,62000,0,4,2,7,27,3,2,0
352,24,Sales,2,6,43100,0,4,5,28,11,2,1,0
353,44,Engineering,3,23,86500,1,5,1,12,63,3,1,0
354,54,Marketing,1,25,62600,0,5,2,44,4,3,5,0
355,21,Sales,1,3,39800,1,4,5,13,66,1,5,0
356,39,Operations,4,18,94400,1,2,5,13,58,5,4,0
357,21,Marketing,1,3,35700,0,5,3,22,14,4,2,0
358,57,Marketing,3,12,80600,1,4,4,38,3,3,2,0
359,25,Finance,3,7,65400,1,3,5,35,1,4,2,0
360,42,Engineering,2,5,59200,1,2,5,18,23,5,5,0
