employee_id,age,years_at_company,monthly_income,salary_hike_percent,distance_from_home_km,training_hours_year,projects_completed,average_weekly_hours,overtime_hours,manager_rating,employee_rating,promotion_wait_years,absent_days,sick_days,travel_days_month,department,job_role,education_level,gender,marital_status,shift,work_location,manager_style,received_bonus,recent_promotion,career_change_requested,mentor_assigned,has_stock_options,uses_company_transport,left_company
16,27,3,63614.0,20,50,74.0,13,65,25,1,5,4,3,9,4,Finance,Analyst,Bachelor,Female,Divorced,Day,Office,Supportive,0,1,0,0,1,1,0
17,40,15,63960.0,18,49,11.0,13,70,30,3,4,0,6,3,2,Research,Engineer,Bachelor,Male,Divorced,Day,Hybrid,Balanced,1,0,0,1,1,1,0
18,49,10,59887.0,10,18,75.0,9,39,0,2,4,0,5,6,13,Legal,Associate,Bachelor,Male,Divorced,Night,Office,Micromanager,1,0,0,1,1,1,0
19,51,18,93730.0,9,26,18.0,7,32,0,5,5,1,19,7,12,HR,Analyst,Master,Female,Married,Day,Hybrid,Micromanager,0,0,0,1,0,0,0
20,57,3,70204.0,2,19,19.0,9,47,7,1,1,5,14,0,4,Research,Lead,Bachelor,Female,Single,Flexible,Remote,Micromanager,0,0,0,0,0,0,0
21,57,8,61119.0,16,9,32.0,5,49,9,5,4,7,12,2,12,Finance,Lead,Master,Female,Divorced,Flexible,Office,Hands-off,1,0,0,1,0,1,0
22,45,16,65078.0,12,33,0.0,5,35,0,4,1,4,4,5,2,Legal,Associate,Bachelor,Female,Married,Night,Office,Balanced,0,1,0,0,0,0,0
23,46,1,62805.0,17,12,64.0,6,34,0,3,1,0,15,6,14,Engineering,Associate,Bachelor,Female,Divorced,Flexible,Hybrid,Hands-off,1,0,0,0,1,0,0
24,50,9,66401.0,18,17,4.0,13,33,0,2,1,1,16,3,7,Research,Associate,PhD,Female,Single,Day,Hybrid,Balanced,0,0,0,0,0,0,0
25,52,2,,18,19,20.0,5,47,7,4,2,4,20,5,0,HR,Associate,Bachelor,Male,Married,Day,Office,Balanced,0,0,0,0,0,0,0
26,28,16,85180.0,2,52,78.0,15,51,11,2,4,6,13,7,1,Operations,Associate,High School,Male,Divorced,Night,Remote,Balanced,0,0,0,0,0,0,0
27,37,6,60903.0,16,13,24.0,4,39,0,3,1,4,17,3,14,Engineering,Lead,Bachelor,Female,Single,Day,Office,Balanced,1,0,0,0,0,1,0
28,26,15,71999.0,3,30,74.0,14,59,19,1,3,2,7,4,3,Engineering,Lead,Bachelor,Female,Divorced,Night,Office,Micromanager,1,1,0,0,0,1,0
29,39,19,72969.0,14,1,13.0,6,66,26,3,4,4,10,2,0,Finance,Lead,Bachelor,Male,Divorced,Day,Office,Supportive,0,0,0,0,0,0,0
30,25,11,73077.0,17,14,74.0,9,63,23,4,3,2,0,7,15,Engineering,Lead,High School,Female,Divorced,Night,Office,,0,0,0,0,0,1,0
31,59,7,54383.0,5,33,22.0,15,44,4,1,1,0,0,6,1,Operations,Lead,High School,Male,Divorced,Day,Remote,Supportive,0,0,0,1,0,1,0
32,53,4,,0,4,65.0,10,34,0,3,2,0,5,3,12,Engineering,Executive,Bachelor,Female,Single,Day,Office,Supportive,0,0,0,1,0,1,1
33,26,7,42346.0,10,12,12.0,8,47,7,1,1,6,7,10,11,Finance,Executive,Bachelor,Female,Single,Night,Office,Balanced,1,0,0,1,1,0,0
34,56,0,37739.0,18,40,14.0,5,38,0,5,1,1,19,8,4,Research,Engineer,Bachelor,Male,Single,Flexible,Remote,Balanced,0,1,0,0,1,0,0
35,44,0,57965.0,17,21,48.0,7,46,6,4,1,0,19,5,5,Engineering,Executive,Bachelor,Male,Divorced,Day,Office,Supportive,0,1,0,0,0,0,0
36,34,18,67861.0,14,50,65.0,6,57,17,1,2,5,5,2,14,Engineering,Executive,Bachelor,Female,Divorced,Night,Office,Hands-off,0,0,1,1,1,0,0
37,43,7,63684.0,2,51,7.0,2,64,24,3,4,3,4,5,4,Finance,Lead,Bachelor,Female,Divorced,Day,Hybrid,Supportive,0,0,0,1,1,0,0
38,23,11,70935.0,19,5,36.0,6,59,19,1,2,4,11,2,3,Operations,Engineer,Master,Male,Married,Day,Remote,Balanced,0,0,0,1,0,0,0
39,24,12,88236.0,5,18,41.0,4,70,30,2,1,4,5,9,11,Sales,Associate,High School,Male,Single,Day,Hybrid,,1,0,0,1,0,1,0
40,21,18,103817.0,20,36,25.0,13,50,10,3,3,7,3,0,10,HR,Manager,Master,Male,Married,Day,Hybrid,Balanced,0,0,0,1,1,0,0
41,29,8,52449.0,10,40,41.0,9,68,28,3,3,1,4,2,13,Marketing,Lead,Bachelor,Male,Divorced,Flexible,Office,Hands-off,0,0,0,1,1,1,0
42,26,7,41133.0,17,25,11.0,15,55,15,1,5,1,14,9,15,Sales,Analyst,Bachelor,Female,Married,Day,Office,Supportive,0,0,0,1,1,0,0
43,59,16,69711.0,11,60,44.0,2,32,0,5,3,7,11,6,14,Marketing,Analyst,Bachelor,Female,Single,Day,Remote,Supportive,0,0,0,0,1,0,0
44,59,13,94468.0,19,29,61.0,1,58,18,5,4,0,15,7,11,Operations,Analyst,Master,Male,Divorced,Day,Hybrid,Micromanager,0,0,0,1,0,0,1
45,35,16,73558.0,4,37,42.0,12,35,0,3,5,1,6,3,3,Engineering,Manager,Bachelor,Female,Married,Day,Hybrid,Balanced,0,0,0,1,0,0,1
46,55,19,89198.0,16,59,34.0,2,47,7,1,3,7,2,5,12,Operations,Associate,Bachelor,Female,Married,Flexible,Hybrid,Balanced,0,0,0,1,0,0,0
47,54,14,80547.0,4,60,47.0,13,57,17,5,5,0,17,7,12,Legal,Lead,Bachelor,Female,Married,Day,Remote,Supportive,0,0,0,0,0,0,0
48,56,5,49928.0,6,5,44.0,10,60,20,2,2,7,10,4,13,Research,Engineer,Master,Female,Single,Day,Office,Micromanager,0,0,0,0,0,1,0
49,27,9,81736.0,14,30,36.0,13,51,11,4,4,7,3,1,3,Finance,Manager,Bachelor,Female,Single,Day,Office,Supportive,0,0,1,1,1,0,0
50,31,0,42163.0,5,47,78.0,3,40,0,2,2,1,13,1,12,Engineering,Executive,Bachelor,Male,Divorced,Day,Remote,Balanced,1,0,0,0,1,1,0
51,36,4,40272.0,4,3,0.0,10,67,27,2,5,2,16,8,7,,Executive,Bachelor,Male,Divorced,Flexible,Office,Hands-off,1,0,0,1,0,0,0
52,23,19,112421.0,13,15,24.0,14,43,3,1,4,3,3,8,5,Research,Analyst,Bachelor,Female,Single,Day,Hybrid,Balanced,0,0,0,0,0,0,0
53,53,5,60595.0,18,24,40.0,1,41,1,1,4,3,0,9,7,Sales,Engineer,Bachelor,Female,Single,Flexible,Office,Supportive,0,0,1,0,0,1,0
54,60,10,75629.0,2,59,5.0,9,35,0,1,1,1,11,7,7,Sales,Engineer,Bachelor,Female,Divorced,Night,Office,Hands-off,0,0,0,1,0,0,0
55,43,11,60121.0,20,55,31.0,3,47,7,2,3,5,4,7,8,Engineering,Manager,Master,Male,Divorced,Day,Office,Balanced,1,0,1,0,1,0,0
56,44,17,81148.0,16,51,35.0,10,63,23,4,2,6,1,3,5,Legal,Engineer,PhD,Male,Single,Day,Hybrid,Supportive,1,0,0,1,0,0,0
57,25,5,37694.0,14,14,1.0,7,35,0,1,3,0,1,2,4,Engineering,Associate,Bachelor,Female,Single,Day,Office,Hands-off,0,0,0,1,0,0,0
58,40,10,69394.0,4,47,75.0,5,57,17,4,3,4,19,1,13,Research,Engineer,High School,Male,Married,Day,Office,Balanced,1,0,0,0,0,1,1
59,54,17,88313.0,14,43,49.0,7,67,27,4,5,3,15,1,9,Engineering,Executive,Master,Female,Single,Night,Office,Balanced,1,0,0,1,0,0,0
60,60,16,89801.0,11,27,71.0,9,33,0,1,1,2,15,4,15,Operations,Associate,Bachelor,Male,Married,Flexible,Office,Hands-off,0,0,0,0,1,1,0
61,58,18,97168.0,8,23,74.0,1,53,13,1,5,6,0,9,6,Finance,Associate,Bachelor,Female,Single,Day,Office,Balanced,0,0,0,1,0,0,1
62,26,20,103414.0,11,5,47.0,5,44,4,4,4,6,10,6,5,,Lead,Master,Female,Single,Night,Office,,0,1,0,0,0,0,0
63,24,15,107090.0,14,28,34.0,8,45,5,2,4,5,17,1,0,Engineering,Associate,Bachelor,Male,Divorced,Day,Remote,Supportive,0,0,0,0,1,0,0
64,33,20,98337.0,8,26,8.0,15,39,0,2,1,4,9,7,7,Operations,Analyst,Bachelor,Female,Married,Night,Remote,Supportive,1,0,0,0,0,0,0
65,41,16,78430.0,2,28,70.0,11,39,0,1,5,4,1,2,6,Marketing,Associate,Master,Male,Single,Night,Hybrid,Hands-off,0,0,0,0,0,0,0
66,23,8,53746.0,7,33,69.0,9,68,28,4,5,0,1,4,11,Operations,Manager,Bachelor,Male,Married,Day,Office,Balanced,0,0,0,0,1,0,0
67,56,4,61465.0,15,42,61.0,14,45,5,4,1,7,11,7,3,Sales,Manager,Master,Male,Divorced,Day,Remote,Hands-off,0,0,0,1,0,1,0
68,58,19,,1,14,35.0,1,52,12,2,5,1,8,4,1,Operations,Manager,Bachelor,Female,Divorced,Day,Office,Supportive,0,1,0,1,1,0,0
69,38,12,86028.0,13,6,66.0,7,43,3,1,5,2,1,10,1,Engineering,Manager,Bachelor,Female,Married,Night,Office,Hands-off,1,0,0,1,0,0,0
70,54,7,59016.0,20,34,67.0,9,44,4,4,5,3,11,3,1,Engineering,Associate,High School,Female,Single,Day,Hybrid,Balanced,0,0,0,0,0,1,0
71,43,18,81490.0,6,16,15.0,12,62,22,4,4,6,7,0,4,Finance,Executive,Bachelor,Female,Married,Day,Office,Hands-off,0,0,0,0,1,0,1
72,22,20,105253.0,5,15,20.0,10,52,12,2,5,0,12,4,9,Engineering,Engineer,Bachelor,Male,Single,Flexible,Hybrid,Micromanager,0,0,0,0,0,0,0
73,60,2,33537.0,5,42,20.0,10,42,2,1,1,7,16,7,8,Legal,Analyst,Master,Male,Single,Day,Remote,Balanced,1,0,0,0,0,0,1
74,39,4,35637.0,11,1,7.0,13,37,0,1,3,0,12,2,7,Marketing,Manager,High School,Female,Single,Day,Hybrid,Hands-off,1,1,0,0,0,0,0
75,30,5,289285.0,16,31,7.0,8,54,14,1,2,6,17,2,0,Engineering,Executive,Bachelor,Female,Single,Flexible,Hybrid,Hands-off,0,0,0,0,0,1,0
76,54,10,59824.0,9,15,16.0,8,47,7,1,1,7,13,9,8,Sales,Engineer,Master,Male,Single,Day,Hybrid,Micromanager,1,0,0,1,0,0,0
77,28,13,88163.0,11,32,74.0,6,51,11,3,1,5,12,1,1,Engineering,Associate,Master,Male,Married,Day,Hybrid,Supportive,1,0,0,0,0,0,0
78,45,4,63813.0,14,8,57.0,8,30,0,4,5,2,0,3,7,Operations,Manager,Bachelor,Female,Divorced,Day,Hybrid,Supportive,1,0,0,0,0,1,0
79,34,13,87423.0,19,11,15.0,3,60,20,3,5,1,3,3,3,Operations,Engineer,Master,Female,Single,Day,Office,Micromanager,0,0,0,0,0,1,0
80,57,15,92073.0,19,4,23.0,2,59,19,2,3,6,18,0,14,Sales,Lead,High School,Female,Married,Flexible,Office,Supportive,0,0,0,1,0,0,0
81,31,12,80468.0,19,48,46.0,11,44,4,4,3,6,8,9,15,Operations,Associate,Bachelor,Male,Married,Day,Hybrid,Balanced,1,0,1,1,0,1,0
82,57,19,79519.0,16,21,73.0,5,65,25,2,4,5,6,6,1,HR,Manager,Bachelor,Female,Married,Day,Office,Micromanager,0,1,0,0,0,0,1
83,48,13,67416.0,9,25,76.0,6,38,0,5,4,7,10,3,1,Finance,Engineer,Bachelor,Male,Married,Day,Office,Hands-off,0,0,1,0,1,0,0
84,57,20,83926.0,17,5,2.0,7,55,15,5,1,2,18,8,4,,Executive,Bachelor,Male,Married,Night,Office,Micromanager,1,0,1,0,0,0,1
85,54,5,64115.0,9,21,4.0,2,51,11,1,2,1,1,2,12,Marketing,Lead,Bachelor,Female,Married,Night,Hybrid,Micromanager,1,0,0,0,0,1,0
86,41,14,74777.0,19,28,13.0,11,70,30,2,4,1,16,1,8,Engineering,Lead,Bachelor,Male,Married,Day,Office,,1,0,0,1,0,0,0
87,56,4,346285.0,14,15,,14,69,29,2,2,3,19,5,11,Operations,Engineer,Bachelor,Female,Divorced,Flexible,Office,Balanced,1,0,0,1,1,0,0
88,39,8,71440.0,11,11,45.0,7,45,5,1,5,6,20,4,13,Research,Associate,Bachelor,Other,Married,Day,Office,Micromanager,1,0,0,1,0,0,0
89,58,17,90931.0,10,2,46.0,12,38,0,5,2,5,2,9,15,Operations,Associate,High School,Male,Single,Day,Office,Balanced,0,0,0,1,0,1,0
90,55,0,39853.0,19,16,33.0,2,64,24,4,1,3,0,7,6,Research,Manager,Master,Female,Married,Day,Office,Supportive,0,0,0,0,1,0,0
91,26,1,27041.0,3,53,71.0,14,64,24,3,3,3,16,8,7,Sales,Lead,Master,Male,Single,Day,Remote,Supportive,1,0,1,1,0,1,0
92,34,5,30176.0,20,36,39.0,1,59,19,1,1,7,19,8,13,Operations,Manager,High School,Male,Married,Night,Office,Hands-off,1,0,0,1,0,0,0
93,50,11,73340.0,4,48,19.0,5,32,0,4,1,4,8,8,3,Operations,Manager,Master,Female,Single,Day,Hybrid,Micromanager,1,0,0,0,0,0,1
94,49,18,103942.0,3,55,70.0,12,57,17,4,4,4,2,5,11,Marketing,Engineer,Bachelor,Male,Single,Day,Hybrid,Micromanager,0,0,0,0,0,0,1
95,55,7,32290.0,19,56,48.0,13,67,27,1,1,5,7,10,3,Finance,Executive,Bachelor,Male,Single,Day,Hybrid,Balanced,1,0,0,1,0,0,0
96,33,10,52600.0,13,19,10.0,13,30,0,4,3,3,7,7,12,Operations,Associate,Bachelor,Female,Single,Night,Remote,Supportive,0,0,0,0,0,0,0
97,50,0,20000.0,18,47,27.0,8,49,9,1,1,3,18,8,6,Engineering,Engineer,Master,Female,Married,Flexible,Hybrid,Balanced,0,0,0,0,0,0,0
98,50,7,53870.0,1,17,40.0,14,41,1,3,3,0,12,9,4,Operations,Associate,Master,Male,Single,Night,Hybrid,Supportive,1,0,0,0,0,1,0
99,23,2,140840.0,15,32,56.0,6,65,25,4,1,7,6,1,7,,Executive,Bachelor,Male,Single,Day,Office,Micromanager,1,0,0,0,0,0,0
100,54,15,74181.0,19,56,75.0,6,30,0,4,1,4,17,4,13,Sales,Manager,Bachelor,Male,Married,Day,Office,Balanced,0,0,0,0,0,1,0
101,57,2,52874.0,8,49,28.0,13,46,6,5,4,4,4,8,0,Research,Associate,Bachelor,Female,Divorced,Night,Office,Supportive,1,0,0,1,0,1,0
102,44,2,60847.0,12,47,10.0,4,46,6,3,4,1,7,5,8,Engineering,Engineer,Bachelor,Female,Single,Day,Hybrid,Balanced,1,1,0,0,1,0,0
103,37,19,86217.0,5,17,18.0,10,61,21,2,4,5,10,0,13,Engineering,Manager,Bachelor,Female,Married,Night,Remote,Balanced,0,0,0,1,0,1,1
104,37,16,84551.0,0,32,71.0,3,67,27,3,3,4,12,6,15,Engineering,Engineer,Bachelor,Female,Divorced,Flexible,Hybrid,Supportive,1,0,0,1,0,1,1
105,46,16,,4,1,14.0,5,42,2,5,4,7,8,0,3,Engineering,Manager,Bachelor,Male,Single,Night,Office,Supportive,0,0,0,1,0,0,0
106,58,15,78222.0,1,40,16.0,7,63,23,2,4,7,5,1,1,Engineering,Engineer,Bachelor,Male,Married,Day,Remote,Hands-off,0,1,0,0,0,0,1
107,39,16,93135.0,9,10,71.0,6,49,9,2,2,3,13,3,4,Sales,Lead,Bachelor,Male,Divorced,Night,Office,Balanced,0,0,0,0,1,0,0
108,46,17,92373.0,5,17,49.0,8,70,30,5,4,0,10,8,0,Marketing,Manager,Bachelor,Female,Married,Flexible,Office,Hands-off,0,1,0,1,0,0,0
109,30,14,,12,37,32.0,8,40,0,1,4,6,8,4,3,Sales,Manager,Bachelor,Other,Single,Day,Remote,Balanced,0,0,0,0,0,0,0
110,33,3,42703.0,1,16,8.0,9,67,27,3,1,3,12,6,12,HR,Associate,Bachelor,Male,Divorced,Day,Hybrid,Hands-off,0,0,0,0,0,0,0
111,30,20,103889.0,13,13,36.0,6,53,13,2,1,3,13,9,2,Operations,Analyst,Master,Male,Married,Day,Hybrid,Hands-off,0,0,0,0,0,0,0
112,50,8,58841.0,1,37,5.0,7,61,21,5,1,0,6,3,8,Operations,Lead,Bachelor,Female,Single,Day,Remote,Supportive,0,1,0,1,0,0,0
113,49,1,40060.0,11,26,3.0,10,69,29,1,5,7,19,1,10,Engineering,Executive,Master,Male,Married,Day,Office,Supportive,1,0,0,1,0,0,0
114,58,14,108888.0,8,46,25.0,1,34,0,4,4,0,10,7,5,Finance,Analyst,PhD,Female,Divorced,Day,Remote,Hands-off,1,1,0,0,0,0,0
115,28,11,76119.0,16,48,74.0,13,40,0,4,4,5,8,3,2,Operations,Executive,PhD,Female,Married,Day,Office,Balanced,1,0,0,0,0,1,0
116,37,10,78255.0,10,53,79.0,2,63,23,5,2,7,3,0,10,HR,Analyst,Bachelor,Female,Married,Flexible,Hybrid,Supportive,1,0,0,1,0,1,0
117,47,4,48312.0,11,13,44.0,10,65,25,1,3,1,18,0,15,Marketing,Analyst,Master,Male,Single,Day,Office,Balanced,0,0,1,0,0,0,0
118,46,12,57517.0,19,52,9.0,11,40,0,1,1,4,0,0,5,Research,Engineer,Master,Male,Single,Night,Hybrid,Balanced,0,0,0,0,1,1,0
119,43,9,68850.0,12,29,7.0,9,48,8,4,1,2,3,9,14,Legal,Manager,Bachelor,Male,Divorced,Night,Office,Supportive,1,0,0,1,0,0,0
120,26,4,66797.0,9,40,6.0,7,67,27,5,5,3,2,2,5,Engineering,Executive,PhD,Male,Divorced,Day,Office,Supportive,1,1,0,0,0,0,0
121,56,6,68464.0,20,8,15.0,11,60,20,2,2,7,1,8,0,Research,Manager,Bachelor,Male,Single,Day,Office,Supportive,1,0,0,0,0,1,0
122,52,6,50986.0,5,1,22.0,10,68,28,5,1,0,1,10,8,Sales,Associate,High School,Male,Single,Flexible,Hybrid,Supportive,1,1,0,0,0,1,0
123,39,10,51785.0,18,6,48.0,8,48,8,5,1,4,15,5,7,HR,Associate,PhD,Female,Divorced,Day,Office,Hands-off,0,0,0,1,0,1,0
124,23,17,83215.0,15,55,50.0,2,45,5,4,1,0,11,4,10,Sales,Associate,Bachelor,Female,Single,Day,Remote,Supportive,0,0,0,0,0,0,0
125,53,12,83411.0,13,23,18.0,6,58,18,4,5,7,17,9,8,,Analyst,High School,Male,Married,Day,Remote,Micromanager,0,0,0,0,0,0,0
126,45,2,60261.0,15,2,23.0,10,67,27,2,3,6,6,10,12,Engineering,Lead,High School,Male,Divorced,Day,Hybrid,Balanced,0,1,0,1,1,0,0
127,22,3,59117.0,3,34,29.0,9,57,17,1,1,4,3,6,0,Finance,Analyst,Bachelor,Female,Single,Night,Office,Supportive,1,0,0,0,0,0,0
128,35,3,56587.0,8,27,25.0,3,57,17,1,3,0,8,9,1,Marketing,Executive,Bachelor,Female,Single,Flexible,Hybrid,Micromanager,0,0,0,0,0,0,0
129,31,15,87394.0,18,36,58.0,15,42,2,3,2,5,0,6,7,Sales,Manager,Bachelor,Male,Married,Day,Office,Supportive,0,0,0,1,0,1,0
130,58,7,67930.0,3,50,36.0,15,57,17,2,2,6,10,9,8,Operations,Associate,Bachelor,Female,Single,Day,Office,Balanced,0,0,0,0,1,0,0
131,48,20,,14,20,34.0,4,34,0,1,4,3,9,6,8,Operations,Associate,Master,Male,Single,Night,Office,Supportive,1,0,0,0,0,0,0
132,55,6,,8,54,4.0,10,52,12,1,4,6,15,2,13,Engineering,Analyst,High School,Male,Divorced,Day,Office,Supportive,0,0,0,0,1,0,0
133,53,16,103866.0,18,14,9.0,15,65,25,2,1,1,10,6,6,Engineering,Lead,Bachelor,Male,Married,Flexible,Hybrid,Balanced,0,0,0,1,1,0,0
134,21,1,40534.0,15,47,76.0,1,58,18,2,1,6,12,4,9,HR,Analyst,Master,Female,Divorced,Day,Office,Supportive,0,0,0,1,0,0,0
135,21,15,78355.0,8,7,77.0,13,48,8,3,2,0,12,2,10,Sales,Associate,Bachelor,Female,Married,Flexible,Office,Micromanager,1,0,0,1,0,0,0
136,35,19,89201.0,9,29,66.0,3,32,0,3,4,2,19,10,9,,Manager,Master,Male,Married,Day,Hybrid,Micromanager,1,0,0,0,1,0,0
137,59,19,97417.0,11,29,58.0,7,57,17,1,4,5,16,6,14,Legal,Manager,Bachelor,Female,Married,Day,Hybrid,Micromanager,0,0,0,0,0,0,0
138,32,9,57166.0,11,11,78.0,1,55,15,2,2,3,18,9,6,HR,Engineer,PhD,Male,Married,Day,Office,Hands-off,1,0,0,0,0,0,0
139,59,20,101627.0,5,24,75.0,1,57,17,1,5,6,5,4,15,Finance,Manager,Master,Female,Married,Day,Office,Hands-off,1,0,0,1,1,1,0
140,58,15,90007.0,19,12,42.0,13,60,20,3,5,1,2,10,2,Sales,Associate,Bachelor,Female,Divorced,Day,Hybrid,Balanced,0,0,0,0,1,0,0
141,35,10,,18,25,67.0,13,58,18,3,3,1,9,10,8,Engineering,Executive,Bachelor,Female,Divorced,Flexible,Office,Balanced,0,1,1,1,1,0,0
142,31,17,69169.0,17,56,74.0,5,34,0,1,3,6,8,5,9,Engineering,Lead,Bachelor,Female,Single,Day,Hybrid,Balanced,1,0,0,0,1,0,0
143,40,5,45736.0,12,13,65.0,5,67,27,2,4,5,10,7,11,Operations,Manager,High School,Male,Married,Day,Hybrid,Hands-off,1,0,0,1,1,0,0
144,29,2,86743.0,18,20,36.0,10,46,6,1,5,5,13,3,11,Finance,Associate,PhD,Female,Married,Flexible,Office,Balanced,0,0,0,0,0,0,0
145,23,4,34573.0,7,11,63.0,8,58,18,4,2,6,16,3,12,Engineering,Associate,High School,Male,Married,Flexible,Hybrid,Micromanager,1,0,0,1,1,0,0
146,30,7,56946.0,13,24,43.0,12,52,12,1,1,6,9,8,6,Marketing,Engineer,Bachelor,Male,Married,Night,Hybrid,Supportive,1,0,0,0,1,1,0
147,47,20,115432.0,11,44,37.0,3,36,0,1,3,7,17,6,6,HR,Executive,Bachelor,Female,Single,Flexible,Remote,Balanced,1,0,0,0,1,1,0
148,58,20,94103.0,2,28,2.0,13,63,23,5,1,5,13,2,9,Finance,Manager,Master,Male,Divorced,Night,Hybrid,Micromanager,1,0,0,1,0,0,0
149,40,19,84852.0,0,1,14.0,13,46,6,2,2,2,12,6,13,Operations,Manager,Bachelor,Female,Divorced,Day,Hybrid,Supportive,1,0,0,1,1,0,0
150,41,20,100500.0,15,55,80.0,8,48,8,4,1,3,9,4,6,Marketing,Executive,Bachelor,Female,Single,Night,Office,Micromanager,0,0,0,1,0,0,0
151,21,10,64599.0,10,39,42.0,15,46,6,1,2,4,20,4,7,Engineering,Lead,Bachelor,Male,Single,Night,Hybrid,Supportive,0,0,0,1,0,1,0
152,39,5,72585.0,1,38,36.0,3,33,0,2,1,2,3,9,12,Sales,Executive,Master,Female,Divorced,Day,Hybrid,Balanced,0,0,0,0,1,0,1
153,24,5,61388.0,13,45,24.0,15,63,23,3,2,7,9,8,9,Research,Executive,Master,Female,Divorced,Day,Office,Hands-off,1,0,0,0,1,1,0
154,24,15,343635.0,15,1,65.0,14,32,0,2,5,0,19,0,3,Legal,Lead,Bachelor,Male,Married,Day,Remote,Micromanager,1,0,0,0,0,0,0
155,47,17,110256.0,7,50,9.0,9,37,0,3,5,7,4,9,12,Engineering,Associate,Bachelor,Male,Single,Day,Office,Hands-off,1,0,0,1,0,1,0
156,48,8,67637.0,6,31,,5,63,23,4,1,3,0,6,5,Legal,Associate,Bachelor,Male,Divorced,Day,Remote,Supportive,0,1,0,0,0,0,0
157,34,12,69586.0,14,8,60.0,15,56,16,5,1,6,20,7,2,Operations,Executive,High School,Female,Single,Day,Hybrid,Hands-off,0,0,0,1,0,1,0
158,35,18,96620.0,10,47,34.0,1,64,24,3,4,3,2,9,15,Engineering,Executive,Master,Female,Single,Flexible,Remote,Balanced,1,0,0,0,0,0,0
159,36,3,38101.0,12,2,30.0,3,37,0,3,1,6,12,1,7,Engineering,Executive,Master,Female,Single,Day,Office,Balanced,0,0,0,0,1,0,0
160,24,5,53992.0,9,18,14.0,8,61,21,1,5,1,19,5,15,Research,Manager,Bachelor,Female,Divorced,Flexible,Remote,,1,0,0,1,1,0,0
161,23,8,84793.0,0,18,72.0,7,39,0,3,5,6,4,3,15,Finance,Lead,Master,Male,Divorced,Night,Remote,Micromanager,0,0,0,1,0,0,0
162,41,12,87847.0,6,55,80.0,14,31,0,4,1,1,17,5,10,Engineering,Manager,Bachelor,Male,Divorced,Day,Hybrid,Micromanager,1,0,0,0,0,1,0
163,47,14,85681.0,14,55,,15,69,29,4,4,4,10,0,14,Finance,Associate,Bachelor,Male,Single,Day,Office,Micromanager,1,0,0,0,0,1,1
